Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity,Runtime (minutes),Average Vote (/10),Overview,Tagline,Poster Path
Christmas Carol: The Movie,Pathe,35257,Animation,Family,5.9,77,5.1,"Animated version of the classic Charles Dickins story. Warned by the ghost of his old business partner Marley that his sins would lead to punishment in the afterlife, the cruel and greedy Scrooge is visited by the Ghosts of Christmas Past, Present and Future to show him how the course of his life led him to where he is - and where it will lead if he doesn't change his ways.",,/38NCcPC1zJ6hzQYvzPor5uguvDs.jpg
Beauty and the Beast,BVI,10020,Romance,Family,114.259,84,7.7,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",The most beautiful love story ever told.,/7oCAPOphDKpIaxTrnukmDrZ8XKD.jpg
The Man Who Wasn't There,Entm't,10778,Crime,Drama,14.358,116,7.6,"A tale of murder, crime and punishment set in the summer of 1949. Ed Crane, a barber in a small California town, is dissatisfied with his life, but his wife Doris' infidelity and a mysterious opportunity presents him with a chance to change it.","The more you see, the less you really know.",/lrCgt8NNMyFsfmXyXiSSCRXNH4u.jpg
Rat Race,Pathe,9896,Adventure,Comedy,23.674,112,6.2,"In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.",563 miles. 9 people. $2 million. 1001 problems!,/8ghNCfFbCJjcNSz2K5jOC3eO6ZD.jpg
Domestic Disturbance,UIP,11456,Mystery,Thriller,18.699,89,5.7,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.,He will do anything to protect his family.,/3yAhZB2fsaD1H69Vsro02ucvDO.jpg
Rock Star,Warner,12508,Music,Drama,19.908,105,6.7,"A wannabe rock star who fronts a Pennsylvania-based tribute band is devastated when his kick him out of the group he founded. Things begin to look up for Izzy when he is asked to join Steel Dragon, the heavy metal rockers he had been imitating for so long. This film is loosely based on the true story of the band Judas Priest.",The story of a wanna be who got to be.,/8pRMweo9WA1MvYOLsD2hWyFpZ1V.jpg
Soul Survivors,Momentum,14033,Horror,Mystery,8.981,84,4.6,A college freshman involved in a fatal car crash discovers she may not have survived after all when she becomes caught between the worlds of the living and the dead.,The world of the dead and the world of the living... are about to collide,/uWmHhtuEgX7oI0FuWR2oD08HRHD.jpg
Last Orders,Metrodome,14778,Comedy,Drama,4.167,109,6.0,"Jack Dodd was a London butcher who enjoyed a pint with his mates for over 50 years. When he died, he died as he lived, with a smile on his face watching a horse race on which he had bet, with borrowed money. But before he died he had a final request, 'Last Orders', that his ashes be scattered in the sea at Margate. The movie follows his mates, Ray, Lenny and Vic and his foster son Vince as they journey to the sea with the ashes. Along the way, the threads of their lives, their loves and their disappointments are woven together in their memories of Jack and his wife Amy",,/8Wev1ZsTTyRif84gPb1dBquS8Ja.jpg
Black Hawk Down,Col/Tri,855,Action,History,42.189,145,7.4,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",Leave No Man Behind.,/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg
Long Time Dead,UIP,27259,Horror,Thriller,15.993,94,5.4,"A group of British students embark on summoning spirits on a Ouija board after a night of clubbing. But someone breaks the link before they have finished and now a demon is trapped in their world and the only way to banish it, is for all the people who summoned it to die.",Play It To Death,/d2t90uhX9AYzAMX7Xzo2x7Tefpx.jpg
Vanilla Sky,UIP,1903,Romance,Science Fiction,32.116,136,6.8,"David Aames has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia, his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",LoveHateDreamsLifeWorkPlayFriendshipSex,/cAh2pCiNPftsY3aSqJuIOde7uWr.jpg
Spy Game,Entm't,1535,Action,Crime,22.848,126,6.9,"On the day of his retirement, a veteran CIA agent learns that his former protégé has been arrested in China, is sentenced to die the next morning in Beijing, and that the CIA is considering letting that happen to avoid an international scandal.",It's not how you play the game. It's how the game plays you.,/6y8M1rxjKofQCRKKe6xeV91K2Fc.jpg
In the Bedroom,BVI,1999,Drama,Thriller,14.891,130,6.9,"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.",A young man. An older woman. Her ex-husband. Things are about to explode...,/4FIlOw7P2Yusdl7TqHFvKC1eMQ4.jpg
Shallow Hal,Fox,9889,Comedy,Romance,26.256,114,6.1,"A shallow man falls in love with a 300 pound woman because of her ""inner beauty"".",Are You A Shallow Guy?,/q4lZrHWTWuybb6pzMucj1c0ngCW.jpg
Gosford Park,Entm't,5279,Drama,Mystery,11.116,131,6.9,"In 1930’s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",Tea at four. Dinner at eight. Murder at midnight.,/i8rcl2CLdbSX37HKCThVmSgXOxq.jpg
Training Day,Warner,2034,Action,Crime,32.097,122,7.4,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.","The only thing more dangerous than the line being crossed, is the cop who will cross it.",/bUeiwBQdupBLQthMCHKV7zv56uv.jpg
"Monsters, Inc.",BVI,585,Animation,Comedy,219.841,92,7.8,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",We Scare Because We Care.,/sgheSKxZkttIe8ONsf2sWXPgip3.jpg
