Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity,Runtime (minutes),Average Vote (/10),Overview,Tagline,Poster Path
King Kong,UIP,254,Adventure,Drama,59.745,187,6.8,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,/lBtlVlECMW98tz3a3O1C2s1vric.jpg
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BVI,411,Adventure,Family,122.339,143,7.1,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Evil Has Reigned For 100 Years...,/kzJip9vndXYSKQHCgekrgqbnUrA.jpg
Just Friends,Momentum,10033,Comedy,Romance,20.148,96,6.2,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with – a woman whose rejection of him turned him into a ferocious womanizer.",He loves her. She loves him not.,/jgs2mdFlx8NJzbxXTHeQxvQbN6n.jpg
Brokeback Mountain,Entertainment,142,Drama,Romance,37.427,134,7.8,"Two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflict",Love is a force of nature,/fsbzfe9eLOEl5rJX04nPEr1eoAi.jpg
Just Like Heaven,UIP,9007,Fantasy,Romance,23.25,95,6.9,"Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Martinson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.",It's a wonderful afterlife.,/aeEgEKS25GureCQRTNV5SywqvjN.jpg
Cheaper by the Dozen,20th Fox,11007,Comedy,Family,20.055,98,6.3,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.",Growing pains? They've got twelve of them!,/afclGGoQslTYFTnyW1LRMtJMiBp.jpg
Match Point,Icon,116,Drama,Thriller,22.818,124,7.3,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would take him far from it - palms start to sweat and a dark psychological match in his head begins.",Passion Temptation Obsession.,/o33UvZ1UaQhf3w9uMfvGHaynLhY.jpg
Harry Potter and the Goblet of Fire,Warner,674,Adventure,Fantasy,211.722,157,7.8,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",Dark And Difficult Times Lie Ahead.,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
Running Scared,Entertainment,7304,Action,Crime,16.938,122,7.0,"Joey Gazelle is a low level mobster whose job it is to dispose of ""hot"" guns from mob killings. But Joey has been hiding these guns in the drywall of his basement, instead of tossing them in the river. When Joey's son and his best friend, Oleg, witness Joey hiding some guns from a botched drug deal, Oleg steals one of the guns and shoots his abusive stepfather with it. Things are bad enough, but Oleg's stepfather happens to be the nephew of a psychotic Russian mob boss, who happens to be in business with Joey's crew on a gasoline scam. But now Joey's got a dirty cop from the botched drug deal on his case, not to mention the hot .38 out there on the street. As well as Oleg, who can connect Joey to the gun. And if Joey manages to make it through the night, he's still got to answer to his wife.",Every bullet leaves a trail.,/7o5cH4k71kPrbAaPvg5dZzJinkB.jpg
The Constant Gardener,UIP,1985,Drama,Mystery,17.532,129,7.0,"Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.",Love. At any cost.,/nkXq7V7mmJVbvwZGr3nxkHo7HkS.jpg
The Family Stone,20th Fox,9043,Comedy,Drama,12.627,103,6.3,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",Feel The Love,/3QPSWIx14H7sfaLqY5bh1qDNQhZ.jpg
Mrs Henderson Presents,Pathe,10773,Comedy,Drama,8.35,103,6.7,"Eccentric 70-year-old widow purchases the Windmill Theatre in London as a post-widowhood hobby. After starting an innovative continuous variety review, which is copied by other theaters, they begin to lose money. Mrs Henderson suggests they add female nudity similar to the Moulin Rouge in Paris",,/dBaorgYirVJfBl9DtholHQYtxXU.jpg
Nanny McPhee,UIP,11283,Fantasy,Comedy,38.546,97,6.6,"Widower Cedric Brown hires Nanny McPhee to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor, Lady Adelaide Stitch, threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.",You'll learn to love her. Warts and all.,/j9zWPwaHDWE3K1Mb5RNahzwd3KY.jpg
Where the Truth Lies,Momentum,9729,Drama,Mystery,7.139,107,6.2,An ambitious reporter probes the reasons behind the sudden split of a 1950s comedy team.,,/4gWQoxAmSeBaugpccnWdlg5Ov6f.jpg
Mad Hot Ballroom,Metrodome,14358,Documentary,Family,4.066,105,6.9,"Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way. Told from their candid, sometimes hilarious perspectives, these kids are transformed, from reluctant participants to determined competitors, from typical urban kids to ""ladies and gentlemen,"" on their way to try to compete in the final citywide.",,/uq7uWpm97BGCi2esrl2pgEmxMzv.jpg
Innocence,Artificial Eye,286971,Thriller,Mystery,5.371,96,4.1,"After losing her mother in a tragic accident, Beckett Warner realizes that her troubles may be far worse—her school is run by a coven of beautiful women who perpetuate their youth by drinking the blood of virgins.",Love. Beauty. Wealth. Eternity.,/4yGCcuVPoqsHPK0aS1sdejv4iX6.jpg
Oliver Twist,Pathe,257,Crime,Drama,17.944,130,6.7,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",,/zhPdYZ3x2uanhM1SyBj4CuL6hSa.jpg
Tickets,Artificial Eye,57251,Comedy,Drama,2.278,109,6.6,"A train travels across Italy toward Rome. On board is a professor who daydreams a conversation with a love that never was, a family of Albanian refugees who switch trains and steal a ticket, three brash Scottish soccer fans en route to a match, and a complaining widow traveling to a memorial service for her late husband who's accompanied by a community-service volunteer who's assisting her. Interactions among these Europeans turn on class and nationalism, courtesy and rudeness, and opportunities for kindness.",,/gVH7dt0cDoeKm9Q4bF53Jg7Y3o0.jpg
Broken Flowers,Momentum,308,Comedy,Drama,10.197,106,6.9,"As the devoutly single Don Johnston is dumped by his latest girlfriend, he receives an anonymous pink letter informing him that he has a son who may be looking for him.",Sometimes life brings some strange surprises,/aSHkPnC0o4XPHpJC5TY3AWO6un4.jpg
Jarhead,UIP,25,Drama,War,31.238,123,6.6,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",Welcome to the suck.,/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg
Memoirs of a Geisha,BVI,1904,Drama,Romance,34.121,146,7.7,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.","My world is as forbidden as it is fragile; without its mysteries, it cannot survive.",/pBwYsQaSTgnPphIy02DJjCF2cqs.jpg
Breakfast on Pluto,Pathe,1420,Drama,Comedy,12.262,128,7.2,"In the 1970s, a foundling lass, Patrick ""Kitten"" Braden, comes of age by leaving her Irish town for London, in part to look for her mother and in part because her transgender nature is beyond the town's understanding.",Same world. Different planet.,/14tmdb1PiLNDZf3VD29S2nUKVV0.jpg
Underworld: Evolution,Entertainment,834,Fantasy,Action,46.383,106,6.6,"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.","My God. Brother, what have you done?",/yT1EDKhCzAumcZeBoAxqm0nY2H8.jpg
Get Rich or Die Tryin',UIP,10060,Drama,Crime,39.911,117,6.7,"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",If You Think You Know the Story...You Don't Know the Man.,/aaEJu8vFKtrAoSRtw3xjCf1aM5d.jpg
Cheaper by the Dozen 2,20th Fox,9641,Comedy,Family,23.181,94,6.1,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",Same Big Family... Even Bigger Adventure.,/wD68dEtcKuboxd8bhbqiTTxn6cX.jpg
Frozen,Guerilla Films,109445,Animation,Family,118.66,102,7.3,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",Only the act of true love will thaw a frozen heart.,/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg
Walk the Line,20th Fox,69,Drama,Music,21.672,136,7.5,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",Love is a burning thing.,/zMkD6FVikyPNnigoupO7vD5ti9p.jpg
Derailed,BVI,8999,Drama,Thriller,14.271,108,6.3,"When two married business executives having an affair are blackmailed by a violent criminal, they are forced to turn the tables on him to save their families.",He never saw it coming.,/bcCoOkwEBHUS5Y7Rm1u1oTLUHdb.jpg
Chicken Little,BVI,9982,Animation,Family,43.293,81,5.9,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.","When it comes to saving the world, it helps to be a little chicken.",/1wg65q3daTE8rGfaUhBxLdXk6NL.jpg
Final Destination 3,Entertainment,9286,Horror,Mystery,76.816,93,6.1,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",This ride will be the death of you.,/p7ARuNKUGPGvkBiDtIDvAzYzonX.jpg
Big Momma's House 2,20th Fox,11565,Comedy,Crime,36.056,99,5.7,"FBI agent Malcolm Turner goes back undercover as Big Momma, a slick-talking, slam-dunking Southern granny with attitude to spare! Now this granny must play nanny to three dysfunctional upper class kids in order to spy on their computer hacked dad.",The momma of all comedies is back.,/tOl6hzfFHdNcL7SxopC2Vbs4mgK.jpg
The Adventures of Greyfriars Bobby,The Works,73772,Drama,Family,5.049,104,5.0,"This is the true story of a little dog that refused to leave his master's graveside in Edinburgh. The dog visited the grave for years".,,/kka927oSEIIzJ7qUPWtlRs0n63z.jpg
Casanova,BVI,9681,Adventure,Comedy,11.236,112,6.5,"With a reputation for seducing members of the opposite sex, regardless of their marital status, a notorious womanizer discovers a beauty who seems impervious to his charms. However, as he continues to pursue the indifferent lady, he finds himself falling in love.",He won every woman's heart. She won his.,/pp237jqOnlLojQfvCgJHv5yZofL.jpg
The Piano Tuner of Earthquakes,Artificial Eye,44502,Romance,Fantasy,5.667,99,6.0,"Dark fairytale about a demonic doctor who abducts a beautiful opera singer with designs on transforming her into a mechanical nightingale.",,/mYct4dkNiGSl1p1yFgIIDgwmSXb.jpg
Brief Encounter,Park Circus Films,851,Drama,Romance,12.37,86,7.8,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",A story of the most precious moments in woman's life!",/46yqnRK0XwxP686pkWwfLW8NwyV.jpg
Date Movie,20th Fox,10073,Comedy,Romance,29.503,83,4.2,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",An Unprotected Comedy,/xjLK0EmD0MAM7B049SRCUQaqkdL.jpg
Syriana,Warner,231,Drama,Thriller,15.871,128,6.4,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.",Everything is connected.,/mO3hWUTOxmLJxihvDU0YFkb0Mb5.jpg
Lucky Number Slevin,Entertainment,186,Drama,Thriller,14.603,110,7.5,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.",Wrong Time. Wrong Place. Wrong Number.,/x21s3p5wPww534nYj1cWakTcqz4.jpg
The Weather Man,Momentum,6963,Comedy,Drama,10.384,101,6.1,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",Dave Spritz is about to take his best shot . . . at life,/oQilVzOxLPxvBn9hAuvGpKTpONM.jpg
Last Holiday,UIP,17379,Adventure,Comedy,14.835,112,7.0,"After she's diagnosed with a terminal illness, a shy woman decides to take a European vacation.",She always thought she was somebody special... and she was.,/9hnSFHD0I49Lyqy4nImrGq8ZVUW.jpg
The Matador,BVI,9515,Action,Comedy,8.818,96,6.3,"The life of Danny Wright, a salesman forever on the road, veers into dangerous and surreal territory when he wanders into a Mexican bar and meets a mysterious stranger, Julian, who's very likely a hit man. Their meeting sets off a chain of events that will change their lives forever, as Wright is suddenly thrust into a far-from-mundane existence that he takes to surprisingly well … once he gets acclimated to it.",A hitman and a salesman walk into a bar...,/oJnlAGmrhsg4QrlVKGgP91J6WPu.jpg
Capote,Sony,398,Crime,Drama,15.795,114,7.0,"A biopic of the writer, Truman Capote and his assignment for The New Yorker to write the non-fiction book, 'In Cold Blood'.",In Cold Blood.,/k7z0tDxzbDNev7F8l3Y56Pk5seR.jpg
The Hills Have Eyes,20th Fox,9792,Horror,Thriller,56.723,107,6.4,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",The lucky ones die first.,/qj4C2c96T1n3YnYxFG5l5bSTKbM.jpg
The Proposition,Tartan,16608,Action,Adventure,13.214,104,7.1,"Set in the Australian outback in the 1880s, the movie follows the series of events following the horrific rape and murder of the Hopkins family, allegedly committed by the infamous Burns brothers gang. Captain Morris Stanley captures Charlie Burns and gives him 9 days to kill his older dangerous psychopathic brother, or else they'll hang his younger mentally slow brother on Christmas Day.",This land will be civilized.,/e4j7s9SzaJTfjkorMX1iY38IzZi.jpg
Two for the Money,UIP,9910,Comedy,Crime,14.442,122,6.0,A former college athlete joins forces with a sports consultant to handicap football games for high-rolling gamblers.,How much will you risk?,/5SedPYdGLrp6LX9C2cWXLx38w1D.jpg
Evil Aliens,Contentfilm,10177,Comedy,Horror,6.519,93,5.3,"The sensationalist reporter Michelle Fox presents the TV show Weird World, with phony matters about UFOS and aliens. When she hears about Cat, a young woman that claims that have been abducted with her boyfriend and become pregnant by aliens, she convinces her chief to travel with a team to the remote Welsh island of Scalled to interview Cat. She invites the cameraman Ricky Anderson with his sound technician partner; the nerd expert in ""ufology"" and ""ley lines"" Gavin Gorman; the actress Candy Vixen and an obscure gay actor to prepare the matter. They get a van and wait for the low tide to reach the island, and when they find evidences that aliens are really landed in the location, the ambitious Michelle decides to film her way to fame and wealth.",,/rSGYrrua4QoyXPhic6GvxgdQFb8.jpg
These Foolish Things,Swipe,56193,Comedy,Drama,4.771,107,6.1,"The world's on the brink of World War II, but a young actress is caught in a sentimental contest between a playwright and a director.",,/c51hje9FrZbrHiaVhkKRSRuxcgl.jpg
The Road to Guantanamo,Revelation,7872,Documentary,Drama,7.888,95,6.9,"Part drama, part documentary, The Road to Guantánamo focuses on the Tipton Three, a trio of British Muslims who were held in Guantanamo Bay for two years until they were released without charge.",How far will we go in the name of security?,/deM5htQLvRjcRkeIFtaOdd5TDrC.jpg
The Pink Panther,20th Fox,936,Comedy,Crime,19.724,115,6.9,"The trademark of The Phantom, a renowned jewel thief, is a glove left at the scene of the crime. Inspector Clouseau, an expert on The Phantom's exploits, feels sure that he knows where The Phantom will strike next and leaves Paris for the Tyrolean Alps, where the famous Lugashi jewel 'The Pink Panther' is going to be. However, he does not know who The Phantom really is, or for that matter who anyone else really is...",A Madcap Frolic Of Crime and Fun.,/aCjJ0sKayks2uL7MJBzdp2i67NI.jpg
V for Vendetta,Warner,752,Action,Thriller,41.222,132,7.9,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",People should not be afraid of their governments. Governments should be afraid of their people.,/kxekpqZUpO5W65QT12goucFvyx9.jpg
Tsotsi,Momentum,868,Crime,Drama,10.55,94,6.9,"The South African multi-award winning film about a young South African boy from the ghetto named Tsotsi, meaning Gangster. Tsotsi, who left home as a child to get away from helpless parents, finds a baby in the back seat of a car that he has just stolen. He decides that it his responsibility to take care of the baby and in the process learns that maybe the gangster life isn’t the best way.",In this world... Redemption comes just once.,/fvPGF7NYuZJACYVRAAF3FXicVf0.jpg
In My Country,Sony,16635,Romance,Drama,5.615,103,6.5,An American reporter and an Afrikaans poet meet and fall in love while covering South Africa's Truth and Reconciliation Commission hearings.,"A South African Story of Truth, Love and Reconcilliation",/bkuOhlmJJnq6sZfY9WRKQVKRnnJ.jpg
Inside Man,UIP,388,Crime,Drama,32.763,129,7.4,"When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.",It looked like the perfect bank robbery. But you can’t judge a crime by its cover.,/mf4i9zZVXMmqWsEb9D0OAY7k3t.jpg
The Boys from County Clare,Lions Gate,1589,Romance,Comedy,3.888,91,6.0,"In Ireland in the mid 1960s, two feuding brothers and their respective Ceilidh bands compete at a music festival.",,/3pO8Ur0tfOlBr2m9zJxMMm5Ha1F.jpg
The Shaggy Dog,BVI,10067,Comedy,Family,14.565,98,4.9,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,It's going to be a ruff day.,/upqS0EMQnSMJzoZLpd39N1OZy8E.jpg
Firewall,Warner,9754,Action,Crime,13.598,105,5.8,"State-of-the-art security system creator, Jack Stanfield has cemented his reputation as a man who's thought of everything. But when a criminal finds a way into Jack's personal life, everything Jack holds dear is suddenly at stake.",Nothing Is More Dangerous Than A Man With Everything To Lose.,/bp0BTphk7bgBof20XAfKkujRxwI.jpg
The Three Burials of Melquiades Estrada,Optimum,8053,Adventure,Crime,8.578,121,7.1,"When brash Texas border officer Mike Norton wrongfully kills and buries the friend and ranch hand of Pete Perkins, the latter is reminded of a promise he made to bury his friend, Melquiades Estrada, in his Mexican home town. He kidnaps Norton and exhumes Estrada's corpse, and the odd caravan sets out on horseback for Mexico.",Nobody is beyond redemption.,/uHOEb6mo45qMSJaZqbkVa7oW1Y7.jpg
The White Countess,Sony,18840,Drama,History,6.803,135,6.6,"Iin 1930s Shanghai, 'The White Countess' is both Sofia—a fallen member of the Russian aristocracy—and a nightclub created by a blind American diplomat, who asks Sofia to be the centerpiece of the world he wants to create.",,/65AKidOOKrfyQkiVYtkgDJVM4CA.jpg
Shooting Dogs,Metrodome,8588,Drama,History,5.878,115,7.4,"Two westerners, a priest and a teacher find themselves in the middle of the Rwandan genocide and face a moral dilemna. Do they place themselves in danger and protect the refugees, or escape the country with their lives? Based on a true story.",What would you risk to make a difference?,/9xC2yUgqPVvoHykYuigrxLyunya.jpg
She's the Man,Entertainment,9655,Comedy,Drama,23.831,105,6.8,"Viola Hastings is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.","If you wanna chase your dream, sometimes you gotta break the rules.",/gdF2PEBdwoohpPqKL93eCk17zNO.jpg
Alien Autopsy,Warner,9773,Comedy,Science Fiction,8.463,95,5.6,Humouristic reconstruction of the 1995 scandal when two British lads were accused of having faked a documentary from the Roswell incident in 1947.,Prepare To Be Stitched Up!,/zFQ23icWVfFIONdyedlfutZHijo.jpg
The Squid and the Whale,Sony,10707,Comedy,Drama,8.507,81,7.0,"Based on the true childhood experiences of Noah Baumbach and his brother, The Squid and the Whale tells the touching story of two young boys dealing with their parents divorce in Brooklyn in the 1980s.",Joint custody blows.,/9NbXn1NMdfGM491V3EFjZADR9SX.jpg
Take the Lead,Entertainment,12763,Comedy,Music,14.359,108,6.9,"A former professional dancer volunteers to teach dance in the New York public school system and, while his background first clashes with his students' tastes, together they create a completely new style of dance. Based on the story of ballroom dancer, Pierre Dulane.",Never Follow,/vkGSs0eeOOISEe9jddBZnRSkn46.jpg
An American Haunting,Lionsgate,10008,Horror,Thriller,12.846,83,5.6,Based on the true events of the only case in US History where a spirit caused the death of a man.,Possession Knows No Bounds,/5ePaCimd7cA9zYNib8WfIbWnrCf.jpg
Humko Deewana Kar Gaye,UTV Comm,48569,Drama,Romance,5.226,152,4.9,Two kindred spirits who are betrothed to others must decide whether to go through with arranged marriages or brush aside convention for true love.,One life... one moment... one coincidence... changed their lives forever.,/5Pe8sACQOQ6Ht6mPR5tUNwpGHgy.jpg
Junebug,Miracle,1444,Comedy,Drama,11.258,106,6.7,"On the way to meet with an independent artist in the South, newlywed art dealer Madeleine is convinced by her husband, George, that they should stop to meet his family in North Carolina. Madeleine's affluent lifestyle clashes with the family, but she befriends George's wide-eyed and pregnant sister-in-law, Ashley, who is nearing her due date. Through the family, Madeleine gains greater insight into George's character.",,/asC6UOPrR6OlNMiyXbeXWu08SOG.jpg
Silent Hill,Pathe,588,Horror,Mystery,41.707,125,6.5,"In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself.",We've been expecting you.,/4NAVF9R5pUPOTdPQStom4VsjoTY.jpg
American Dreamz,UIP,9310,Comedy,Drama,9.203,107,4.9,"The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal and a showtunes-loving young man from Orange County. Recently awakened President Staton even wants in on the craze, as he signs up for the potential explosive season finale.",Imagine a country where more people vote for a pop idol than they do for their next President.,/loww8fONhdlZQmvMhZFirrg2c1d.jpg
Eight Below,BVI,9036,Adventure,Drama,25.63,120,7.0,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.","The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",/xAKEG2CemdK5M86GidaAE5nRWTW.jpg
C.R.A.Z.Y.,Soda,11421,Drama,Comedy,10.106,127,7.5,"A story of two love affairs. A father's love for his five sons. And one son's love for his father, a love so strong it compels him to live a lie. That son is Zac Beaulieu, born on the 25th of December 1960, different from all his brothers, but desperate to fit in. During the next 20 years, life takes Zac on a surprising and unexpected journey that ultimately leads him to accept his true nature and, even more importantly, leads his father to love him for who he really is.","Growing up in this family, you'd have to be... C.R.A.Z.Y.",/soaR8KiH7Jqc1afKEoT1hW11h7q.jpg
Rollin' with the Nines,Maiden Voyage,10084,Action,Crime,3.408,96,4.6,"Too Fine and his friends Finny, Pushy and Rage hope to set up a successful urban underground garage...",,/cgF9c0xLUh9ImzWWEf5pf2hEmLx.jpg
U-Carmen eKhayelitsha,Tartan,79706,Music,Drama,0.6,122,5.9,"U-CARMEN is a feature film based on Georges Bizet's 19th-century opera that was filmed on location in a modern South African township setting. The energy, compassion, and heat of township life in all its elements create a constantly visually interesting and dynamic background for the unfolding of the story, which owes part of its huge popularity to the thrilling combination of a violent gangster tale with a passionate, almost supernatural love story. As it unfolds, it explores issues of fame and wealth, the position of a strong and independently minded woman in a very masculine society and, perhaps most importantly, the incomprehensible attraction between abuser and victim. Bizet's opera, based on Prosper Merimée's novel, premiered in Paris on March 3, 1875. Set in a poor area of Seville, the story of the magnetic woman who seduces, loves, and ultimately destroys her lover and herself...",,/iqF0rpEqVefmQYV0qXLUvYns0Yw.jpg
16 Blocks,Warner,2207,Action,Adventure,18.072,102,6.4,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.","For a New York cop and his witness, the distance between life and death just got very short.",/sRns3OuMcZTOs4OfVfKtL9JiaE2.jpg
Slither,Entertainment,9035,Horror,Science Fiction,20.546,95,6.5,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",Horror has a new face.,/jr9NlTilpQMmSo8xUoAodBlvIwF.jpg
Mission: Impossible III,UIP,956,Adventure,Action,47.396,126,6.7,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",The Mission Begins 05:05:06.,/5l0hS4A119jCA1A02XsFZHq1uRD.jpg
Confetti,20th Fox,10111,Comedy,Romance,10.205,100,5.9,A mockumentary that follows three couples as they battle it out to win the coveted title of 'Most Original Wedding of the Year'.,Three weddings. One happy couple.,/3mXirbIdw5w2qfvJ2m6YasnE0Hf.jpg
The Magician,Miracle,14096,Comedy,Drama,3.35,85,6.5,"Following the dealings of a Melbourne-based hitman Ray as seen through the eyes of his ex-neighbour and friend Max, an Italian film student. Max and his camera witness Ray's work life as it unfolds from day to day, giving an insight into a world we rarely see, and at the same time developing an unusual friendship with his subject.",He can make people disappear,/yzDMNdzTK05N7QBkD1iXWrAWfz8.jpg
X-Men: The Last Stand,20th Fox,36668,Adventure,Action,2.092,104,6.4,"When a cure is found to treat mutations, lines are drawn amongst the X-Men—led by Professor Charles Xavier—and the Brotherhood, a band of powerful mutants organised under Xavier's former ally, Magneto.",Take a Stand,/7RSSkRpwvkNN5iKO8zACtBA0KhQ.jpg
The Wild,BVI,9904,Family,Animation,53.653,95,5.5,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",Start spreading the newspaper.,/sxqzaOto1qyUseSg6YpIP9Su5lp.jpg
Curious George,UIP,9975,Adventure,Animation,26.035,87,6.3,"When The Man in the Yellow Hat befriends Curious George in the jungle, they set off on a non-stop, fun-filled journey through the wonders of the big city toward the warmth of true friendship.",Show me the Monkey!,/kj6MvHlFQcoKgSrVUOC8aI3XfLi.jpg
Friends with Money,Sony,8998,Comedy,Drama,11.762,88,5.1,"After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.",,/hJmfZ1b6ZzT4bORo4f2FyWbkgAx.jpg
